team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
Illinois,3,South,1.0,0.95866,0.793746,0.462683,0.225206,0.125768,0.047606,0.85,1.1764705882352942,0.62,1.5462258064516128,0.38,2.0888052631578944,0.18,2.5704611111111113,0.08,2.8150749999999998,0.04,3.1441999999999997,0.015,3.1737333333333337
Michigan,1,Midwest,1.0,0.974215,0.907956,0.770165,0.599039,0.396331,0.25421,0.99,1.0101010101010102,0.93,1.0475430107526882,0.8,1.1349449999999999,0.58,1.3278706896551724,0.38,1.5764184210526315,0.2,1.981655,0.12,2.1184166666666666
Vanderbilt,5,South,1.0,0.890874,0.63982,0.195919,0.086495,0.034754,0.00843,0.65,1.5384615384615383,0.38,2.3444052631578947,0.18,3.554555555555556,0.07,2.798842857142857,0.03,2.883166666666667,0.012,2.896166666666667,0.004,2.1075
Duke,1,East,1.0,0.972881,0.880905,0.76053,0.647285,0.38152,0.215579,0.99,1.0101010101010102,0.93,1.0461086021505375,0.8,1.10113125,0.58,1.3112586206896553,0.38,1.7033815789473683,0.2,1.9076,0.12,1.7964916666666666
Texas Tech,5,Midwest,1.0,0.905373,0.609757,0.134025,0.076753,0.023852,0.005912,0.65,1.5384615384615383,0.38,2.3825605263157894,0.18,3.387538888888889,0.07,1.914642857142857,0.03,2.5584333333333333,0.012,1.9876666666666667,0.004,1.478
Arizona,1,West,1.0,0.975853,0.892865,0.766099,0.549849,0.340313,0.171177,0.99,1.0101010101010102,0.93,1.0493043010752687,0.8,1.11608125,0.58,1.3208603448275862,0.38,1.446971052631579,0.2,1.7015649999999998,0.12,1.426475
Purdue,2,West,1.0,0.966125,0.823311,0.603248,0.270419,0.119947,0.064874,0.94,1.0638297872340425,0.82,1.1782012195121951,0.58,1.419501724137931,0.33,1.8280242424242423,0.17,1.5907,0.09,1.3327444444444445,0.05,1.29748
Houston,2,South,1.0,0.968055,0.84206,0.457281,0.251313,0.1222,0.057285,0.94,1.0638297872340425,0.82,1.1805548780487805,0.58,1.4518275862068968,0.33,1.3857,0.17,1.4783117647058823,0.09,1.357777777777778,0.05,1.1457
Florida,1,South,1.0,0.973844,0.850763,0.660424,0.382834,0.174705,0.091167,0.99,1.0101010101010102,0.93,1.0471440860215053,0.8,1.06345375,0.58,1.1386620689655174,0.38,1.0074578947368422,0.2,0.873525,0.12,0.759725
Michigan St.,3,East,1.0,0.948784,0.561752,0.330651,0.08251,0.029179,0.008878,0.85,1.1764705882352942,0.62,1.5302967741935483,0.38,1.4782947368421053,0.18,1.8369499999999999,0.08,1.031375,0.04,0.729475,0.015,0.5918666666666668
Iowa St.,2,Midwest,1.0,0.969534,0.742972,0.493077,0.178174,0.076167,0.028422,0.94,1.0638297872340425,0.82,1.182358536585366,0.58,1.2809862068965518,0.33,1.4941727272727272,0.17,1.0480823529411765,0.09,0.8463,0.05,0.56844
UConn,2,East,1.0,0.970839,0.582955,0.312008,0.085453,0.030288,0.009322,0.94,1.0638297872340425,0.82,1.18395,0.58,1.005094827586207,0.33,0.9454787878787878,0.17,0.5026647058823529,0.09,0.33653333333333335,0.05,0.18644
Northern Iowa,12,East,1.0,0.168217,0.030368,0.002443,0.000379,4.4e-05,3e-06,0.255,3.9215686274509802,0.11,1.5292454545454546,0.04,0.0,0.0125,0.0,0.004,0.0,0.0015,0.0,0.001,0.0
Wright St.,14,Midwest,1.0,0.035602,0.002392,0.000201,5e-06,1e-06,0.0,0.18031222920256965,5.545935538718019,0.07778174593052023,0.45771664770551757,0.028284271247461905,0.0,0.008838834764831846,0.0,0.0028284271247461905,0.0,0.0010606601717798214,0.0,0.001,0.0
Furman,15,East,1.0,0.029161,0.00243,0.00012,3e-06,0.0,0.0,0.15162390716284693,6.595266001989918,0.06540639132514965,0.4458432793675195,0.02378414230005442,0.0,0.007432544468767007,0.0,0.002378414230005442,0.0,0.001,0.0,0.001,0.0
North Dakota St.,14,East,1.0,0.051216,0.004883,0.000391,5e-06,0.0,0.0,0.18031222920256965,5.545935538718019,0.07778174593052023,0.658457834640913,0.028284271247461905,0.0,0.008838834764831846,0.0,0.0028284271247461905,0.0,0.0010606601717798214,0.0,0.001,0.0
McNeese,12,South,1.0,0.109126,0.020373,0.001622,0.000126,1.1e-05,1e-06,0.255,3.9215686274509802,0.11,0.9920545454545454,0.04,0.0,0.0125,0.0,0.004,0.0,0.0015,0.0,0.001,0.0
VCU,11,South,1.0,0.23927,0.036118,0.005554,0.00072,9.9e-05,7e-06,0.30324781432569387,3.297633000994959,0.1308127826502993,1.8291025934341483,0.04756828460010884,0.0,0.014865088937534014,0.0,0.004756828460010884,0.0,0.0017838106725040815,0.0,0.001,0.0
Saint Louis,9,Midwest,1.0,0.300502,0.020991,0.00472,0.000929,8e-05,7e-06,0.4288571717793944,2.3317786568680807,0.1849972113558172,1.624359620329762,0.06727171322029717,0.0,0.021022410381342865,0.0,0.006727171322029716,0.0,0.0025226892457611435,0.0,0.001,0.0
