team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
Illinois,3,South,1.0,0.95866,0.793746,0.462683,0.225206,0.125768,0.047606,0.85,1.035294117647059,0.62,1.0761731612903227,0.38,1.0527578526315788,0.18,0.8842386222222223,0.08,0.7431798,0.04,0.7294544,0.015,0.6728314666666668
Michigan,1,Midwest,1.0,0.974215,0.907956,0.770165,0.599039,0.396331,0.25421,0.99,1.002020202020202,0.93,0.9888806021505377,0.8,0.9533538,0.58,0.8817061379310345,0.38,0.7945148842105263,0.2,0.7133958,0.12,0.6270513333333334
Duke,1,East,1.0,0.972881,0.880905,0.76053,0.647285,0.38152,0.215579,0.99,1.002020202020202,0.93,0.9875265204301076,0.8,0.9249502500000001,0.58,0.8706757241379312,0.38,0.8585043157894737,0.2,0.686736,0.12,0.5317615333333333
Vanderbilt,5,South,1.0,0.890874,0.63982,0.195919,0.086495,0.034754,0.00843,0.65,1.1076923076923078,0.38,1.181580252631579,0.18,1.2227671111111114,0.07,0.7165037714285716,0.03,0.6458293333333335,0.012,0.6070365333333334,0.004,0.42824399999999996
Arizona,1,West,1.0,0.975853,0.892865,0.766099,0.549849,0.340313,0.171177,0.99,1.002020202020202,0.93,0.9905432602150538,0.8,0.93750825,0.58,0.8770512689655173,0.38,0.7292734105263159,0.2,0.6125634,0.12,0.4222366
Purdue,2,West,1.0,0.966125,0.823311,0.603248,0.270419,0.119947,0.064874,0.94,1.0127659574468086,0.82,1.0085402439024391,0.58,0.9425491448275862,0.33,0.8482032484848485,0.17,0.5344752,0.09,0.3625064888888889,0.05,0.3113952
Texas Tech,5,Midwest,1.0,0.905373,0.609757,0.134025,0.076753,0.023852,0.005912,0.65,1.1076923076923078,0.38,1.200810505263158,0.18,1.1653133777777778,0.07,0.4901485714285715,0.03,0.5730890666666667,0.012,0.4166149333333333,0.004,0.30032960000000003
Houston,2,South,1.0,0.968055,0.84206,0.457281,0.251313,0.1222,0.057285,0.94,1.0127659574468086,0.82,1.010554975609756,0.58,0.9640135172413794,0.33,0.6429648,0.17,0.4967127529411765,0.09,0.3693155555555556,0.05,0.274968
Florida,1,South,1.0,0.973844,0.850763,0.660424,0.382834,0.174705,0.091167,0.99,1.002020202020202,0.93,0.9885040172043011,0.8,0.8933011500000001,0.58,0.7560716137931035,0.38,0.5077587789473685,0.2,0.314469,0.12,0.22487859999999998
Iowa St.,2,Midwest,1.0,0.969534,0.742972,0.493077,0.178174,0.076167,0.028422,0.94,1.0127659574468086,0.82,1.0120989073170732,0.58,0.8505748413793104,0.33,0.6932961454545454,0.17,0.35215567058823527,0.09,0.23019360000000003,0.05,0.1364256
Michigan St.,3,East,1.0,0.948784,0.561752,0.330651,0.08251,0.029179,0.008878,0.85,1.035294117647059,0.62,1.0650865548387096,0.38,0.7450605473684211,0.18,0.6319108,0.08,0.272283,0.04,0.1692382,0.015,0.12547573333333337
UConn,2,East,1.0,0.970839,0.582955,0.312008,0.085453,0.030288,0.009322,0.94,1.0127659574468086,0.82,1.0134612,0.58,0.6673829655172414,0.33,0.4387021575757576,0.17,0.1688953411764706,0.09,0.09153706666666667,0.05,0.0447456
Louisville,6,East,1.0,0.785253,0.393362,0.22456,0.045615,0.015922,0.004626,0.63,1.1174603174603175,0.35,1.0769184,0.14,0.8766353142857142,0.05,1.0778880000000002,0.02,0.4926420000000001,0.008,0.41078760000000003,0.003,0.004626
Wisconsin,5,West,1.0,0.911737,0.55612,0.10895,0.053719,0.012117,0.004449,0.65,1.1076923076923078,0.38,1.2092511789473686,0.18,1.062807111111111,0.07,0.3984457142857143,0.03,0.4011018666666667,0.012,0.2116436,0.004,0.004449
St. John's,5,East,1.0,0.831783,0.438874,0.089097,0.046531,0.014402,0.003628,0.65,1.1076923076923078,0.38,1.1032069263157895,0.18,0.8387369777777778,0.07,0.3258404571428571,0.03,0.34743146666666674,0.012,0.25155493333333334,0.004,0.003628
Ohio St.,8,East,1.0,0.809168,0.102491,0.054513,0.029276,0.010625,0.003602,0.51,1.192156862745098,0.22,1.3829416727272728,0.08,0.33822030000000003,0.025,0.47971440000000004,0.008,0.7553208,0.003,0.7168333333333334,0.001,0.003602
Arkansas,4,West,1.0,0.905901,0.421156,0.079555,0.038838,0.008615,0.003121,0.79,1.0531645569620254,0.52,1.0731442615384617,0.28,0.6377505142857143,0.12,0.19623566666666667,0.05,0.1864224,0.025,0.008615,0.008,0.003121
Gonzaga,3,West,1.0,0.953127,0.576775,0.237084,0.053774,0.01346,0.003071,0.85,1.035294117647059,0.62,1.0699619225806452,0.38,0.7649857894736843,0.18,0.4530938666666666,0.08,0.1774542,0.04,0.078068,0.015,0.003071
Kansas,4,East,1.0,0.920985,0.521752,0.089337,0.040255,0.012204,0.003001,0.79,1.0531645569620254,0.52,1.0910130000000002,0.28,0.7900815999999999,0.12,0.22036460000000002,0.05,0.193224,0.025,0.1073952,0.008,0.003001
Tennessee,6,Midwest,1.0,0.838555,0.431701,0.202499,0.04401,0.0112,0.002634,0.63,1.1174603174603175,0.35,1.1500182857142858,0.14,0.9620765142857143,0.05,0.9719952,0.02,0.475308,0.008,0.28896,0.003,0.002634
UCLA,7,East,1.0,0.83024,0.380952,0.118808,0.020616,0.006822,0.002064,0.61,1.1278688524590166,0.3,1.2176853333333333,0.12,0.9396816000000001,0.04,0.6890864,0.015,0.2913728,0.006,0.006822,0.002,0.002064
Virginia,3,Midwest,1.0,0.964398,0.516097,0.225265,0.044941,0.010469,0.00197,0.85,1.035294117647059,0.62,1.0826145290322582,0.38,0.6845076000000001,0.18,0.4305064444444445,0.08,0.14830530000000003,0.04,0.0607202,0.015,0.00197
Alabama,4,Midwest,1.0,0.904777,0.365297,0.066971,0.037717,0.009352,0.001869,0.79,1.0531645569620254,0.52,1.071812753846154,0.28,0.5531640285714285,0.12,0.16519513333333335,0.05,0.1810416,0.025,0.009352,0.008,0.001869
Nebraska,4,South,1.0,0.945455,0.336582,0.080666,0.0237,0.005803,0.001021,0.79,1.0531645569620254,0.52,1.1200005384615386,0.28,0.5096813142857143,0.12,0.19897613333333333,0.05,0.11376,0.025,0.005803,0.008,0.001021
Iowa,9,South,1.0,0.507446,0.079142,0.037364,0.010801,0.0029,0.000457,0.4288571717793944,1.2663557313736162,0.1849972113558172,0.9545553397087916,0.06727171322029717,0.29860417373886344,0.021022410381342865,0.3853594771596934,0.006727171322029716,0.010801,0.0025226892457611435,0.0029,0.001,0.000457
BYU,6,West,1.0,0.626209,0.270029,0.077809,0.009834,0.001311,0.000289,0.63,1.1174603174603175,0.35,0.8588009142857145,0.14,0.6017789142857144,0.05,0.3734832,0.02,0.009834,0.008,0.001311,0.003,0.000289
North Carolina,6,South,1.0,0.76073,0.166689,0.044587,0.00829,0.001833,0.000222,0.63,1.1174603174603175,0.35,1.0432868571428573,0.14,0.3714783428571429,0.05,0.2140176,0.02,0.00829,0.008,0.001833,0.003,0.000222
Utah St.,9,West,1.0,0.440942,0.04369,0.019884,0.006443,0.000833,0.000177,0.4288571717793944,1.2663557313736162,0.1849972113558172,0.8294548397304817,0.06727171322029717,0.04369,0.021022410381342865,0.019884,0.006727171322029716,0.006443,0.0025226892457611435,0.000833,0.001,0.000177
Villanova,8,West,1.0,0.559058,0.061444,0.02409,0.007176,0.000921,0.000163,0.51,1.192156862745098,0.22,0.9554809454545455,0.08,0.20276520000000003,0.025,0.02409,0.008,0.007176,0.003,0.000921,0.001,0.000163
Clemson,8,South,1.0,0.492554,0.067889,0.023687,0.005167,0.000969,0.000135,0.51,1.192156862745098,0.22,0.8418195636363637,0.08,0.2240337,0.025,0.023687,0.008,0.005167,0.003,0.000969,0.001,0.000135
