team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
Illinois,3,South,1.0,0.95866,0.793746,0.462683,0.225206,0.125768,0.047606,0.85,1.0705882352941176,0.62,1.193686322580645,0.38,1.3117697052631578,0.18,1.3057942444444446,0.08,1.2611535999999999,0.04,1.3331407999999998,0.015,1.2980569333333336
Michigan,1,Midwest,1.0,0.974215,0.907956,0.770165,0.599039,0.396331,0.25421,0.99,1.004040404040404,0.93,1.0035462043010752,0.8,0.9987516,0.58,0.993247275862069,0.38,0.9899907684210527,0.2,1.0304606,0.12,0.9998926666666668
Vanderbilt,5,South,1.0,0.890874,0.63982,0.195919,0.086495,0.034754,0.00843,0.65,1.2153846153846155,0.38,1.472286505263158,0.18,1.8057142222222224,0.07,1.237088542857143,0.03,1.205163666666667,0.012,1.1793190666666669,0.004,0.848058
Duke,1,East,1.0,0.972881,0.880905,0.76053,0.647285,0.38152,0.215579,0.99,1.004040404040404,0.93,1.002172040860215,0.8,0.9689954999999999,0.58,0.9808214482758622,0.38,1.0697236315789473,0.2,0.9919520000000001,0.12,0.8479440666666667
Arizona,1,West,1.0,0.975853,0.892865,0.766099,0.549849,0.340313,0.171177,0.99,1.004040404040404,0.93,1.0052335204301075,0.8,0.9821515,0.58,0.9880035379310345,0.38,0.9086978210526316,0.2,0.8848137999999999,0.12,0.6732962
Texas Tech,5,Midwest,1.0,0.905373,0.609757,0.134025,0.076753,0.023852,0.005912,0.65,1.2153846153846155,0.38,1.4962480105263158,0.18,1.7208697555555557,0.07,0.8462721428571429,0.03,1.0694251333333336,0.012,0.8093778666666667,0.004,0.5947472
Purdue,2,West,1.0,0.966125,0.823311,0.603248,0.270419,0.119947,0.064874,0.94,1.025531914893617,0.82,1.050955487804878,0.58,1.0617872896551726,0.33,1.093158496969697,0.17,0.7985314000000001,0.09,0.6050659777777778,0.05,0.5579164
Houston,2,South,1.0,0.968055,0.84206,0.457281,0.251313,0.1222,0.057285,0.94,1.025531914893617,0.82,1.0530549512195122,0.58,1.0859670344827588,0.33,0.8286486,0.17,0.742112505882353,0.09,0.6164311111111112,0.05,0.492651
Florida,1,South,1.0,0.973844,0.850763,0.660424,0.382834,0.174705,0.091167,0.99,1.004040404040404,0.93,1.0031640344086021,0.8,0.9358393,0.58,0.851719227586207,0.38,0.632683557894737,0.2,0.454233,0.12,0.35859019999999997
Iowa St.,2,Midwest,1.0,0.969534,0.742972,0.493077,0.178174,0.076167,0.028422,0.94,1.025531914893617,0.82,1.0546638146341465,0.58,0.9581776827586208,0.33,0.8935152909090909,0.17,0.5261373411764706,0.09,0.3842202,0.05,0.24442919999999999
Michigan St.,3,East,1.0,0.948784,0.561752,0.330651,0.08251,0.029179,0.008878,0.85,1.0705882352941176,0.62,1.1813891096774194,0.38,0.9283690947368421,0.18,0.9331706,0.08,0.46205599999999997,0.04,0.3092974,0.015,0.2420734666666667
UConn,2,East,1.0,0.970839,0.582955,0.312008,0.085453,0.030288,0.009322,0.94,1.025531914893617,0.82,1.0560834000000001,0.58,0.7518109310344828,0.33,0.5653963151515151,0.17,0.2523376823529412,0.09,0.15278613333333332,0.05,0.08016920000000001
Louisville,6,East,1.0,0.785253,0.393362,0.22456,0.045615,0.015922,0.004626,0.63,1.234920634920635,0.35,1.3685838000000001,0.14,1.3599086285714284,0.05,1.931216,0.02,0.9396690000000001,0.008,0.8056532000000001,0.003,0.004626
Wisconsin,5,West,1.0,0.911737,0.55612,0.10895,0.053719,0.012117,0.004449,0.65,1.2153846153846155,0.38,1.506765357894737,0.18,1.5694942222222221,0.07,0.6879414285714286,0.03,0.7484847333333334,0.012,0.4111702,0.004,0.004449
St. John's,5,East,1.0,0.831783,0.438874,0.089097,0.046531,0.014402,0.003628,0.65,1.2153846153846155,0.38,1.374630852631579,0.18,1.2385999555555556,0.07,0.5625839142857142,0.03,0.6483319333333335,0.012,0.48870786666666666,0.004,0.003628
Ohio St.,8,East,1.0,0.809168,0.102491,0.054513,0.029276,0.010625,0.003602,0.51,1.384313725490196,0.22,1.9567153454545454,0.08,0.5739496,0.025,0.9049158,0.008,1.4813656,0.003,1.423041666666667,0.001,0.003602
Arkansas,4,West,1.0,0.905901,0.421156,0.079555,0.038838,0.008615,0.003121,0.79,1.1063291139240505,0.52,1.240387523076923,0.28,0.8543450285714285,0.12,0.31291633333333335,0.05,0.3340068,0.025,0.008615,0.008,0.003121
Gonzaga,3,West,1.0,0.953127,0.576775,0.237084,0.053774,0.01346,0.003071,0.85,1.0705882352941176,0.62,1.1867968451612902,0.38,0.9531965789473686,0.18,0.6691037333333333,0.08,0.3011344,0.04,0.142676,0.015,0.003071
Kansas,4,East,1.0,0.920985,0.521752,0.089337,0.040255,0.012204,0.003001,0.79,1.1063291139240505,0.52,1.261041,0.28,1.0584111999999999,0.12,0.3513922,0.05,0.346193,0.025,0.2025864,0.008,0.003001
Tennessee,6,Midwest,1.0,0.838555,0.431701,0.202499,0.04401,0.0112,0.002634,0.63,1.234920634920635,0.35,1.4614815714285716,0.14,1.4924520285714284,0.05,1.7414914,0.02,0.906606,0.008,0.5667199999999999,0.003,0.002634
UCLA,7,East,1.0,0.83024,0.380952,0.118808,0.020616,0.006822,0.002064,0.61,1.2557377049180327,0.3,1.6051306666666665,0.12,1.4984112000000003,0.04,1.2593648,0.015,0.5621296,0.006,0.006822,0.002,0.002064
Virginia,3,Midwest,1.0,0.964398,0.516097,0.225265,0.044941,0.010469,0.00197,0.85,1.0705882352941176,0.62,1.2008310580645163,0.38,0.8529182,0.18,0.635747888888889,0.08,0.25166960000000005,0.04,0.1109714,0.015,0.00197
Alabama,4,Midwest,1.0,0.904777,0.365297,0.066971,0.037717,0.009352,0.001869,0.79,1.1063291139240505,0.52,1.2388485076923077,0.28,0.741031057142857,0.12,0.2634192666666667,0.05,0.3243662,0.025,0.009352,0.008,0.001869
Nebraska,4,South,1.0,0.945455,0.336582,0.080666,0.0237,0.005803,0.001021,0.79,1.1063291139240505,0.52,1.294546076923077,0.28,0.6827806285714286,0.12,0.31728626666666665,0.05,0.20382,0.025,0.005803,0.008,0.001021
Iowa,9,South,1.0,0.507446,0.079142,0.037364,0.010801,0.0029,0.000457,0.4288571717793944,1.5327114627472325,0.1849972113558172,1.401664679417583,0.06727171322029717,0.5180663474777268,0.021022410381342865,0.7333549543193867,0.006727171322029716,0.010801,0.0025226892457611435,0.0029,0.001,0.000457
BYU,6,West,1.0,0.626209,0.270029,0.077809,0.009834,0.001311,0.000289,0.63,1.234920634920635,0.35,1.0913928285714287,0.14,0.9335288285714286,0.05,0.6691574,0.02,0.009834,0.008,0.001311,0.003,0.000289
North Carolina,6,South,1.0,0.76073,0.166689,0.044587,0.00829,0.001833,0.000222,0.63,1.234920634920635,0.35,1.3258437142857145,0.14,0.5762676857142858,0.05,0.3834482,0.02,0.00829,0.008,0.001833,0.003,0.000222
