team,seed,region,prob_R64,prob_R32,prob_S16,prob_E8,prob_F4,prob_Championship,prob_Champion,own_R64,value_R64,own_R32,value_R32,own_S16,value_S16,own_E8,value_E8,own_F4,value_F4,own_Championship,value_Championship,own_Champion,value_Champion
Michigan,1,Midwest,1.0,0.974215,0.907956,0.770165,0.599039,0.396331,0.25421,0.99,1.0005050505050506,0.93,0.9778814005376344,0.8,0.91930545,0.58,0.7980502844827586,0.38,0.6479079710526315,0.2,0.47559719999999994,0.12,0.34742033333333333
Duke,1,East,1.0,0.972881,0.880905,0.76053,0.647285,0.38152,0.215579,0.99,1.0005050505050506,0.93,0.9765423801075268,0.8,0.8919163125,0.58,0.7880664310344827,0.38,0.7000898289473685,0.2,0.457824,0.12,0.29462463333333333
Arizona,1,West,1.0,0.975853,0.892865,0.766099,0.549849,0.340313,0.171177,0.99,1.0005050505050506,0.93,0.9795255650537634,0.8,0.9040258125,0.58,0.7938370672413793,0.38,0.5947051026315789,0.2,0.40837559999999995,0.12,0.23394189999999998
Illinois,3,South,1.0,0.95866,0.793746,0.462683,0.225206,0.125768,0.047606,0.85,1.0088235294117647,0.62,0.9880382903225806,0.38,0.8584989631578948,0.18,0.5680719055555555,0.08,0.35469944999999997,0.04,0.2766896,0.015,0.2039123666666667
Purdue,2,West,1.0,0.966125,0.823311,0.603248,0.270419,0.119947,0.064874,0.94,1.003191489361702,0.82,0.9767288109756098,0.58,0.8531205362068965,0.33,0.6644868121212121,0.17,0.33643305,0.09,0.18058687222222222,0.05,0.12650430000000001
Florida,1,South,1.0,0.973844,0.850763,0.660424,0.382834,0.174705,0.091167,0.99,1.0005050505050506,0.93,0.9775090043010752,0.8,0.8613975375,0.58,0.6843359034482758,0.38,0.4140651947368421,0.2,0.209646,0.12,0.1245949
Vanderbilt,5,South,1.0,0.890874,0.63982,0.195919,0.086495,0.034754,0.00843,0.65,1.0269230769230768,0.38,0.9635505631578947,0.18,0.7855567777777779,0.07,0.32606519285714286,0.03,0.22632858333333336,0.012,0.17782463333333334,0.004,0.1133835
Houston,2,South,1.0,0.968055,0.84206,0.457281,0.251313,0.1222,0.057285,0.94,1.003191489361702,0.82,0.978679993902439,0.58,0.8725483793103449,0.33,0.50370195,0.17,0.3126629382352941,0.09,0.18397888888888891,0.05,0.11170574999999999
Texas Tech,5,Midwest,1.0,0.905373,0.609757,0.134025,0.076753,0.023852,0.005912,0.65,1.0269230769230768,0.38,0.9792323763157894,0.18,0.7486460944444444,0.07,0.22305589285714283,0.03,0.2008370166666667,0.012,0.12204273333333333,0.004,0.0795164
Iowa St.,2,Midwest,1.0,0.969534,0.742972,0.493077,0.178174,0.076167,0.028422,0.94,1.003191489361702,0.82,0.9801752268292683,0.58,0.7698727103448276,0.33,0.5431317863636363,0.17,0.2216694176470588,0.09,0.11467365,0.05,0.0554229
Michigan St.,3,East,1.0,0.948784,0.561752,0.330651,0.08251,0.029179,0.008878,0.85,1.0088235294117647,0.62,0.9778596387096774,0.38,0.6075791368421053,0.18,0.4059659499999999,0.08,0.12995325,0.04,0.0641938,0.015,0.03802743333333334
UConn,2,East,1.0,0.970839,0.582955,0.312008,0.085453,0.030288,0.009322,0.94,1.003191489361702,0.82,0.98149455,0.58,0.6040619913793104,0.33,0.3436815393939394,0.17,0.10631358529411765,0.09,0.04560026666666667,0.05,0.0181779
Louisville,6,East,1.0,0.785253,0.393362,0.22456,0.045615,0.015922,0.004626,0.63,1.0293650793650793,0.35,0.8581693499999999,0.14,0.5141803285714285,0.05,0.437892,0.02,0.15737175,0.008,0.1146384,0.003,0.004626
Wisconsin,5,West,1.0,0.911737,0.55612,0.10895,0.053719,0.012117,0.004449,0.65,1.0269230769230768,0.38,0.986115544736842,0.18,0.6827917777777777,0.07,0.18132392857142857,0.03,0.14056471666666667,0.012,0.061998649999999995,0.004,0.004449
