region,seed,team,record,wins,losses,win_pct,SRS,SOS,FG%,3P%,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Tm.,Opp.,Pace,ORtg,eFG%,TOV%,ORB%,FT/FGA,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,bt_rank,bt_Conf,bt_AdjOE,bt_oe Rank,bt_AdjDE,bt_de Rank,bt_Barthag,bt_rank.1,bt_proj. W,bt_Proj. L,bt_Pro Con W,bt_Pro Con L,bt_sos,bt_ncsos,bt_consos,bt_Proj. SOS,bt_Proj. Noncon SOS,bt_Proj. Con SOS,bt_elite SOS,bt_elite noncon SOS,bt_Opp OE,bt_Opp DE,bt_Opp Proj. OE,bt_Opp Proj DE,bt_Con Adj OE,bt_Con Adj DE,bt_Qual O,bt_Qual D,bt_Qual Barthag,bt_Qual Games,bt_FUN,bt_ConPF,bt_ConPA,bt_ConPoss,bt_ConOE,bt_ConDE,bt_ConSOSRemain,bt_Conf Win%,bt_WAB,bt_WAB Rk,bt_Fun Rk,bt_AdjTempo,pts_margin,SRS_sq,efg_above_avg
East,1,Duke,32-2,32.0,2.0,0.9411764705882353,31.55,12.41,0.49,0.351,0.724,424,1370,576,265,111,358,534,2798,2147,67.1,122.6,0.568,13.3,38.1,0.273,0.378,0.444,0.597,57.8,59.2,11.6,10.4,1,ACC,128.09884890415634,4,90.7078371967597,1,0.9814638501244362,1,32.984712453698684,2.015287546301317,17.0,1.0,0.7410946073247703,0.6260550393873434,0.7995523672238998,0.732810733706162,0.6260550393873434,0.7995523672238998,0.6240935502092653,0.6342312302107563,116.5186360595304,102.90330662651208,116.24755428302076,103.07379725609334,129.22819433070697,90.81883393703248,128.2199983875736,89.12106312499868,0.9849786277339664,19.0,0.0699068355946412,1457.0,1123.0,1174.9625,1.2400395757311404,0.9557751843143932,0.0,0.9444444444444444,13.612638589666409,2,39,65.79093324297072,651,995.4025,0.024921874999999982
East,16,Siena,23-11,23.0,11.0,0.6764705882352942,-4.34,-9.19,0.457,0.304,0.769,346,1170,456,197,106,351,467,2398,2233,64.3,109.3,0.506,13.8,31.9,0.263,0.342,0.319,0.548,52.1,53.0,9.0,9.1,189,MAAC,107.03077367907537,199,108.87047887396037,177,0.4511590197350887,189,23.015287546301316,11.984712453698684,13.0,7.0,0.2944262876461279,0.3234258119570657,0.2696495813996405,0.3140559322902796,0.3234258119570657,0.2696495813996405,0.9099560326204538,0.8959323490579565,102.63216037350996,112.04949333992104,103.35978004640914,111.43973173542209,109.2594122002796,111.64598619331434,91.49221811703532,106.3400003138245,0.150657011719336,1.0,0.0174528826517965,1448.0,1327.0,1282.1625,1.1293420295789338,1.0349702163337329,0.0,0.65,-7.8320779615834,152,131,64.61554892151379,165,18.8356,-0.03707812499999996
East,8,Ohio St.,21-12,21.0,12.0,0.6363636363636364,19.06,12.06,0.493,0.36,0.775,307,1097,474,161,79,343,584,2633,2402,66.5,118.6,0.565,13.6,30.8,0.293,0.378,0.401,0.603,51.6,52.0,7.2,7.0,23,B10,125.14094454930488,14,101.4634475776783,48,0.9177403306635328,23,21.6847716261132,12.3152283738868,12.0,8.0,0.7275750736318155,0.4906794082746886,0.8362544677198119,0.7307941425939959,0.4906794082746886,0.8362544677198119,0.6209068426121578,0.8162444620941173,116.5357522854142,102.98072396353088,116.48346447007184,102.87947783131938,127.3832831363682,102.64453092606368,125.59359263468409,101.11684254559796,0.9236430855818129,17.0,-0.0191257880970405,1559.0,1499.0,1318.85,1.1820904575956326,1.1365962770595597,0.0,0.6,2.8592769991826277,32,225,66.1463219295998,231,363.2836,0.02192187499999998
East,9,TCU,22-11,22.0,11.0,0.6666666666666666,15.75,9.51,0.448,0.331,0.708,410,1194,516,254,150,361,538,2584,2378,69.7,111.1,0.509,13.2,34.4,0.274,0.387,0.369,0.546,51.9,57.6,10.9,12.6,49,B12,114.75796661664172,83,99.53835541653756,30,0.8370234198850979,49,22.3152283738868,11.6847716261132,11.0,7.0,0.6723706813594037,0.4276253308128236,0.8302877364691,0.6795874357585552,0.4276253308128236,0.8302877364691,0.6553094352525591,0.7984244317119825,114.53612284355144,104.64539169040712,114.8480293649872,104.5518050984884,115.19550653026153,99.30815180344658,117.09504791428807,93.09779407523312,0.9332275281288668,13.0,0.0919170438619692,1372.0,1371.0,1268.1124999999995,1.0819229366479712,1.0811343630789858,0.0,0.6111111111111112,2.321749549863484,35,14,67.55517470104667,206,248.0625,-0.03407812499999996
East,5,St. John's,28-6,28.0,6.0,0.8235294117647058,22.42,10.83,0.454,0.332,0.727,445,1314,553,269,166,356,588,2773,2379,71.0,114.5,0.51,12.4,35.9,0.305,0.419,0.338,0.552,52.9,58.2,11.1,12.4,15,BE,119.69485214159354,43,93.98245064753542,10,0.9416476572905808,15,28.82349901269534,6.176500987304661,18.0,2.0,0.7289994953668302,0.6154318556972695,0.774949028417176,0.7303343641245892,0.6154318556972695,0.774949028417176,0.6893681484285378,0.7404693237189398,114.85873076426476,103.4321231230597,114.71179409271704,103.2910201397574,119.24974601238242,95.17630357619416,124.02493621651902,96.74169745210152,0.94568137330632,11.0,0.0427808779825004,1587.0,1393.0,1401.6375,1.1322471038339086,0.993837564990948,0.0,0.9,7.191712174023222,15,81,69.59099539717742,394,502.6564000000001,-0.03307812499999996
East,12,Northern Iowa,23-12,23.0,12.0,0.6571428571428571,8.49,1.49,0.477,0.355,0.699,240,1118,526,226,109,327,534,2447,2144,63.7,109.1,0.548,13.2,22.1,0.179,0.256,0.399,0.568,49.2,57.4,10.1,9.9,68,MVC,109.71594730847713,150,98.49351866397252,25,0.7757199036544629,68,23.17650098730466,12.823499012695338,11.0,9.0,0.5071118681092319,0.4511522790369063,0.534346483584409,0.5191823067206854,0.4511522790369063,0.534346483584409,0.8452869562640876,0.853838545930386,108.82585379211729,107.89168406586433,109.13639660433152,107.49427739498832,106.9594219142884,99.30540129565904,109.46466658856514,89.09548094163362,0.914336500304095,1.0,-0.074787722422755,1354.0,1252.0,1261.4875,1.0733360417760778,0.992479116915546,0.0,0.55,-5.343402912836331,106,341,62.16217728032267,303,72.0801,0.0049218750000000755
East,4,Kansas,23-10,23.0,10.0,0.696969696969697,21.1,14.86,0.453,0.35,0.767,334,1282,471,181,189,352,474,2496,2290,68.2,110.0,0.516,13.5,29.5,0.25,0.326,0.357,0.555,51.5,53.3,8.0,15.6,22,B12,117.72195825467244,58,94.26559246956714,11,0.9279359258552802,22,23.85301696160585,10.146983038394152,12.0,6.0,0.786702913354757,0.6909782153220358,0.8428044264425347,0.783838726643233,0.6909782153220358,0.8428044264425347,0.5897367160742377,0.6711557226080301,117.67254200881436,101.20832214257504,117.37086017652727,101.17935957405328,120.42089466408308,96.74609699914308,117.1587167561316,96.93215097180456,0.8983898398003192,18.0,0.0524890700708424,1385.0,1325.0,1251.4125,1.1067493732082747,1.0588035519862555,0.0,0.6666666666666666,6.208650156882824,18,64,67.59081944395966,206,445.21000000000004,-0.027078124999999953
East,13,Cal Baptist,25-8,25.0,8.0,0.7575757575757576,2.52,-2.93,0.432,0.337,0.719,458,1318,341,181,95,408,617,2410,2230,67.4,107.1,0.486,15.1,37.8,0.26,0.361,0.321,0.526,55.1,40.4,8.0,7.5,96,WAC,107.41535984989744,194,100.22359467536354,37,0.6893205717244717,96,25.14698303839415,8.853016961605848,13.0,5.0,0.4522086807343765,0.4476693383948644,0.4401851758012798,0.4662006585197019,0.4476693383948644,0.4401851758012798,0.8605846193708769,0.8516613485977815,106.6705465138666,108.85754687288184,106.9955880348225,108.4283717442196,106.8407649261282,99.33162866643922,94.17321544352929,111.54351627023502,0.12491271759419,1.0,0.0700967084629718,1281.0,1179.0,1214.8750000000002,1.0544294680522686,0.9704702129848748,0.0,0.7222222222222222,-2.3515233478011015,74,38,65.91461337034632,180,6.3504000000000005,-0.05707812499999998
East,6,Louisville,23-10,23.0,10.0,0.696969696969697,23.41,10.83,0.47,0.357,0.769,374,1269,564,227,110,384,608,2797,2382,71.0,119.4,0.564,14.1,32.9,0.257,0.335,0.528,0.599,53.7,59.5,9.7,9.2,17,ACC,123.95962906396848,19,98.0885346523201,23,0.9365519024040744,17,23.74266941263411,10.25733058736589,11.0,7.0,0.708266495244075,0.554085703197526,0.8013533628266554,0.712036780673875,0.554085703197526,0.8013533628266554,0.64721977782171,0.740103173717684,115.34547075935464,103.73166826240656,115.38576283609484,103.6593470622308,125.70110517421072,99.480671260169,120.82000394361906,101.75008922687452,0.878200097056432,16.0,-0.027900009383888,1481.0,1357.0,1260.2875,1.175128690874106,1.07673844261726,0.0,0.6111111111111112,3.938006405913668,26,243,69.70047411711157,415,548.0281,0.02092187499999998
East,11,South Florida,25-8,25.0,8.0,0.7575757575757576,13.29,2.6,0.439,0.332,0.744,511,1410,567,303,136,368,645,2895,2492,73.1,117.7,0.512,12.4,38.0,0.305,0.41,0.44,0.556,53.1,59.3,12.3,11.1,50,Amer,116.71540139472133,66,101.27274743150176,42,0.8364562005976589,50,25.25733058736589,8.74266941263411,15.0,3.0,0.5485614619086024,0.5392968291207171,0.5484314727197775,0.5599729454542335,0.5392968291207171,0.5484314727197775,0.8099677164176176,0.7907856974569499,110.66662141600112,107.85306788712256,111.0694398299512,107.55717294066685,117.3482393164782,102.3210975188919,113.69193394903192,93.00100861927102,0.9097137129550648,3.0,0.0125783652287395,1555.0,1354.0,1323.9749999999997,1.174493476085274,1.0226779206556018,0.0,0.8333333333333334,-0.2893140533958914,50,142,71.35736408914853,403,176.62409999999997,-0.031078124999999956
