season,round,round_num,team1,team2,seed1,seed2,seed_diff,seed_sum,seed_diff_sq,abs_seed_diff,higher_seed_is_team1,round_x_seeddiff,is_upset_seed,seed1_sq,seed2_sq,seed_product,log_seed_ratio,target,score_diff,SRS_diff,SOS_diff,eFG%_diff,TOV%_diff,SRS_sum,AdjOE_diff,AdjDE_diff,Barthag_diff,AdjTempo_diff,WAB_diff,AdjOE_avg,OE_vs_DE_1,OE_vs_DE_2,AdjDE_avg,AdjTempo_avg,ORtg_diff,Pace_diff,ORB%_diff,Pace_avg,ORtg_avg
2002,R64,1,Maryland,Siena,1.0,16.0,-15.0,17.0,225.0,15.0,1,-15.0,0,1.0,256.0,16.0,2.772588722239781,1,15.0,26.200000000000003,13.059999999999999,0.052000000000000046,-3.1000000000000014,20.72,,,,,,,,,,,,,,,
2002,R64,1,Wisconsin,St. John's (NY),8.0,9.0,-1.0,17.0,1.0,1.0,1,-1.0,0,64.0,81.0,72.0,0.11778303565638346,1,10.0,2.29,2.920000000000001,0.062,0.09999999999999787,17.91,,,,,,,,,,,,,,,
2002,R64,1,Marquette,Tulsa,5.0,12.0,-7.0,17.0,49.0,7.0,1,-7.0,0,25.0,144.0,60.0,0.8754687373538999,0,-2.0,4.500000000000002,2.4800000000000004,-0.02100000000000002,1.5999999999999996,29.840000000000003,,,,,,,,,,,,,,,
2002,R64,1,Kentucky,Valparaiso,4.0,13.0,-9.0,17.0,81.0,9.0,1,-9.0,0,16.0,169.0,52.0,1.1786549963416462,1,15.0,9.759999999999998,13.23,-0.016000000000000014,0.8000000000000007,28.54,,,,,,,,,,,,,,,
2002,R64,1,Texas Tech,Southern Illinois,6.0,11.0,-5.0,17.0,25.0,5.0,1,-5.0,0,36.0,121.0,66.0,0.6061358035703155,0,-8.0,4.950000000000001,5.56,-0.01100000000000001,-1.9000000000000004,24.490000000000002,,,,,,,,,,,,,,,
2002,R64,1,Georgia,Murray State,3.0,14.0,-11.0,17.0,121.0,11.0,1,-11.0,0,9.0,196.0,42.0,1.540445040947149,1,17.0,14.01,11.15,-0.0040000000000000036,0.5999999999999979,15.35,,,,,,,,,,,,,,,
2002,R64,1,NC State,Michigan State,7.0,10.0,-3.0,17.0,9.0,3.0,1,-3.0,0,49.0,100.0,70.0,0.3566749439387324,1,11.0,0.9199999999999999,-1.4499999999999993,0.009000000000000008,-2.6999999999999993,30.740000000000002,,,,,,,,,,,,,,,
2002,R64,1,UConn,Hampton,2.0,15.0,-13.0,17.0,169.0,13.0,1,-13.0,0,4.0,225.0,30.0,2.0149030205422647,1,11.0,15.8,16.509999999999998,-0.016000000000000014,1.2000000000000028,14.96,,,,,,,,,,,,,,,
2002,R32,2,Maryland,Wisconsin,1.0,8.0,-7.0,9.0,49.0,7.0,1,-14.0,0,1.0,64.0,8.0,2.0794415416798357,1,30.0,13.360000000000001,0.11999999999999922,0.031000000000000028,-1.6999999999999993,33.56,,,,,,,,,,,,,,,
2002,R32,2,Tulsa,Kentucky,12.0,4.0,8.0,16.0,64.0,8.0,0,16.0,1,144.0,16.0,48.0,-1.0986122886681098,0,-5.0,-6.479999999999999,-9.690000000000001,0.039000000000000035,-0.9000000000000004,31.82,,,,,,,,,,,,,,,
2002,R32,2,Southern Illinois,Georgia,11.0,3.0,8.0,14.0,64.0,8.0,0,16.0,1,121.0,9.0,33.0,-1.2992829841302609,1,2.0,-4.91,-7.58,0.017000000000000015,-0.3999999999999986,24.45,,,,,,,,,,,,,,,
2002,R32,2,NC State,UConn,7.0,2.0,5.0,9.0,25.0,5.0,0,10.0,1,49.0,4.0,14.0,-1.252762968495368,0,-3.0,0.4499999999999993,0.5700000000000003,0.0040000000000000036,-2.0,31.21,,,,,,,,,,,,,,,
2002,S16,3,Maryland,Kentucky,1.0,4.0,-3.0,5.0,9.0,3.0,1,-9.0,0,1.0,16.0,4.0,1.3862943611198906,1,10.0,4.310000000000002,-2.6400000000000006,0.028000000000000025,-1.0,42.61,,,,,,,,,,,,,,,
2002,S16,3,Southern Illinois,UConn,11.0,2.0,9.0,13.0,81.0,9.0,0,27.0,1,121.0,4.0,22.0,-1.7047480922384253,0,-12.0,-5.610000000000001,-5.93,-0.008000000000000007,-2.3000000000000007,25.15,,,,,,,,,,,,,,,
2002,E8,4,Maryland,UConn,1.0,2.0,-1.0,3.0,1.0,1.0,1,-4.0,0,1.0,4.0,2.0,0.6931471805599453,1,8.0,8.08,1.7599999999999998,0.009000000000000008,-3.1000000000000014,38.84,,,,,,,,,,,,,,,
2002,R64,1,Kansas,Holy Cross,1.0,16.0,-15.0,17.0,225.0,15.0,1,-15.0,0,1.0,256.0,16.0,2.772588722239781,1,11.0,25.99,14.459999999999999,0.10200000000000004,-1.1999999999999993,22.77,,,,,,,,,,,,,,,
2002,R64,1,Stanford,Western Kentucky,8.0,9.0,-1.0,17.0,1.0,1.0,1,-1.0,0,64.0,81.0,72.0,0.11778303565638346,1,16.0,6.57,9.299999999999999,-0.031000000000000028,-1.5999999999999996,27.490000000000002,,,,,,,,,,,,,,,
