season,round,round_num,team1,seed1,score1,team2,seed2,score2,winner,winner_idx,score_diff
2002,R64,1,Maryland,1.0,85.0,Siena,16.0,70.0,Maryland,1.0,15.0
2002,R64,1,Wisconsin,8.0,80.0,St. John's (NY),9.0,70.0,Wisconsin,1.0,10.0
2002,R64,1,Marquette,5.0,69.0,Tulsa,12.0,71.0,Tulsa,2.0,-2.0
2002,R64,1,Kentucky,4.0,83.0,Valparaiso,13.0,68.0,Kentucky,1.0,15.0
2002,R64,1,Texas Tech,6.0,68.0,Southern Illinois,11.0,76.0,Southern Illinois,2.0,-8.0
2002,R64,1,Georgia,3.0,85.0,Murray State,14.0,68.0,Georgia,1.0,17.0
2002,R64,1,NC State,7.0,69.0,Michigan State,10.0,58.0,NC State,1.0,11.0
2002,R64,1,UConn,2.0,78.0,Hampton,15.0,67.0,UConn,1.0,11.0
2002,R32,2,Maryland,1.0,87.0,Wisconsin,8.0,57.0,Maryland,1.0,30.0
2002,R32,2,Tulsa,12.0,82.0,Kentucky,4.0,87.0,Kentucky,2.0,-5.0
2002,R32,2,Southern Illinois,11.0,77.0,Georgia,3.0,75.0,Southern Illinois,1.0,2.0
2002,R32,2,NC State,7.0,74.0,UConn,2.0,77.0,UConn,2.0,-3.0
2002,S16,3,Maryland,1.0,78.0,Kentucky,4.0,68.0,Maryland,1.0,10.0
2002,S16,3,Southern Illinois,11.0,59.0,UConn,2.0,71.0,UConn,2.0,-12.0
2002,E8,4,Maryland,1.0,90.0,UConn,2.0,82.0,Maryland,1.0,8.0
2002,R64,1,Kansas,1.0,70.0,Holy Cross,16.0,59.0,Kansas,1.0,11.0
2002,R64,1,Stanford,8.0,84.0,Western Kentucky,9.0,68.0,Stanford,1.0,16.0
2002,R64,1,Florida,5.0,82.0,Creighton,12.0,83.0,Creighton,2.0,-1.0
2002,R64,1,Illinois,4.0,93.0,San Diego State,13.0,64.0,Illinois,1.0,29.0
2002,R64,1,Texas,6.0,70.0,Boston College,11.0,57.0,Texas,1.0,13.0
2002,R64,1,Mississippi State,3.0,70.0,McNeese,14.0,58.0,Mississippi State,1.0,12.0
2002,R64,1,Wake Forest,7.0,83.0,Pepperdine,10.0,74.0,Wake Forest,1.0,9.0
2002,R64,1,Oregon,2.0,81.0,Montana,15.0,62.0,Oregon,1.0,19.0
2002,R32,2,Kansas,1.0,86.0,Stanford,8.0,63.0,Kansas,1.0,23.0
2002,R32,2,Creighton,12.0,60.0,Illinois,4.0,72.0,Illinois,2.0,-12.0
2002,R32,2,Texas,6.0,68.0,Mississippi State,3.0,64.0,Texas,1.0,4.0
2002,R32,2,Wake Forest,7.0,87.0,Oregon,2.0,92.0,Oregon,2.0,-5.0
2002,S16,3,Kansas,1.0,73.0,Illinois,4.0,69.0,Kansas,1.0,4.0
2002,S16,3,Texas,6.0,70.0,Oregon,2.0,72.0,Oregon,2.0,-2.0
2002,E8,4,Kansas,1.0,104.0,Oregon,2.0,86.0,Kansas,1.0,18.0
2002,R64,1,Duke,1.0,84.0,Winthrop,16.0,37.0,Duke,1.0,47.0
2002,R64,1,Notre Dame,8.0,82.0,Charlotte,9.0,63.0,Notre Dame,1.0,19.0
2002,R64,1,Indiana,5.0,75.0,Utah,12.0,56.0,Indiana,1.0,19.0
2002,R64,1,USC,4.0,89.0,UNC Wilmington,13.0,93.0,UNC Wilmington,2.0,-4.0
2002,R64,1,California,6.0,82.0,Penn,11.0,75.0,California,1.0,7.0
2002,R64,1,Pitt,3.0,71.0,Central Connecticut,14.0,54.0,Pitt,1.0,17.0
2002,R64,1,Oklahoma State,7.0,61.0,Kent State,10.0,69.0,Kent State,2.0,-8.0
2002,R64,1,Alabama,2.0,86.0,Florida Atlantic,15.0,78.0,Alabama,1.0,8.0
2002,R32,2,Duke,1.0,84.0,Notre Dame,8.0,77.0,Duke,1.0,7.0
2002,R32,2,Indiana,5.0,76.0,UNC Wilmington,13.0,67.0,Indiana,1.0,9.0
2002,R32,2,California,6.0,50.0,Pitt,3.0,63.0,Pitt,2.0,-13.0
2002,R32,2,Kent State,10.0,71.0,Alabama,2.0,58.0,Kent State,1.0,13.0
2002,S16,3,Duke,1.0,73.0,Indiana,5.0,74.0,Indiana,2.0,-1.0
2002,S16,3,Pitt,3.0,73.0,Kent State,10.0,78.0,Kent State,2.0,-5.0
2002,E8,4,Indiana,5.0,81.0,Kent State,10.0,69.0,Indiana,1.0,12.0
2002,R64,1,Cincinnati,1.0,90.0,Boston University,16.0,52.0,Cincinnati,1.0,38.0
2002,R64,1,UCLA,8.0,80.0,Ole Miss,9.0,58.0,UCLA,1.0,22.0
2002,R64,1,Miami (FL),5.0,80.0,Missouri,12.0,93.0,Missouri,2.0,-13.0
2002,R64,1,Ohio State,4.0,69.0,Davidson,13.0,64.0,Ohio State,1.0,5.0
2002,R64,1,Gonzaga,6.0,66.0,Wyoming,11.0,73.0,Wyoming,2.0,-7.0
2002,R64,1,Arizona,3.0,86.0,UC Santa Barbara,14.0,81.0,Arizona,1.0,5.0
2002,R64,1,Xavier,7.0,70.0,Hawaii,10.0,58.0,Xavier,1.0,12.0
2002,R64,1,Oklahoma,2.0,71.0,UIC,15.0,63.0,Oklahoma,1.0,8.0
2002,R32,2,Cincinnati,1.0,101.0,UCLA,8.0,105.0,UCLA,2.0,-4.0
2002,R32,2,Missouri,12.0,83.0,Ohio State,4.0,67.0,Missouri,1.0,16.0
2002,R32,2,Wyoming,11.0,60.0,Arizona,3.0,68.0,Arizona,2.0,-8.0
2002,R32,2,Xavier,7.0,65.0,Oklahoma,2.0,78.0,Oklahoma,2.0,-13.0
2002,S16,3,UCLA,8.0,73.0,Missouri,12.0,82.0,Missouri,2.0,-9.0
2002,S16,3,Arizona,3.0,67.0,Oklahoma,2.0,88.0,Oklahoma,2.0,-21.0
2002,E8,4,Missouri,12.0,75.0,Oklahoma,2.0,81.0,Oklahoma,2.0,-6.0
2002,F4,5,Maryland,1.0,97.0,Kansas,1.0,88.0,Maryland,1.0,9.0
2002,F4,5,Indiana,5.0,73.0,Oklahoma,2.0,64.0,Indiana,1.0,9.0
2002,Championship,6,Maryland,1.0,64.0,Indiana,5.0,52.0,Maryland,1.0,12.0
2003,R64,1,Oklahoma,1.0,71.0,South Carolina State,16.0,54.0,Oklahoma,1.0,17.0
2003,R64,1,California,8.0,76.0,NC State,9.0,74.0,California,1.0,2.0
2003,R64,1,Mississippi State,5.0,46.0,Butler,12.0,47.0,Butler,2.0,-1.0
2003,R64,1,Louisville,4.0,86.0,Austin Peay,13.0,64.0,Louisville,1.0,22.0
2003,R64,1,Oklahoma State,6.0,77.0,Penn,11.0,63.0,Oklahoma State,1.0,14.0
2003,R64,1,Syracuse,3.0,76.0,Manhattan,14.0,65.0,Syracuse,1.0,11.0
2003,R64,1,Saint Joseph's,7.0,63.0,Auburn,10.0,65.0,Auburn,2.0,-2.0
2003,R64,1,Wake Forest,2.0,76.0,ETSU,15.0,73.0,Wake Forest,1.0,3.0
2003,R32,2,Oklahoma,1.0,74.0,California,8.0,65.0,Oklahoma,1.0,9.0
2003,R32,2,Butler,12.0,79.0,Louisville,4.0,71.0,Butler,1.0,8.0
2003,R32,2,Oklahoma State,6.0,56.0,Syracuse,3.0,68.0,Syracuse,2.0,-12.0
2003,R32,2,Auburn,10.0,68.0,Wake Forest,2.0,62.0,Auburn,1.0,6.0
2003,S16,3,Oklahoma,1.0,65.0,Butler,12.0,54.0,Oklahoma,1.0,11.0
2003,S16,3,Syracuse,3.0,79.0,Auburn,10.0,78.0,Syracuse,1.0,1.0
2003,E8,4,Oklahoma,1.0,47.0,Syracuse,3.0,63.0,Syracuse,2.0,-16.0
2003,R64,1,Kentucky,1.0,95.0,IU Indianapolis,16.0,64.0,Kentucky,1.0,31.0
2003,R64,1,Oregon,8.0,58.0,Utah,9.0,60.0,Utah,2.0,-2.0
2003,R64,1,Wisconsin,5.0,81.0,Weber State,12.0,74.0,Wisconsin,1.0,7.0
2003,R64,1,Dayton,4.0,71.0,Tulsa,13.0,84.0,Tulsa,2.0,-13.0
2003,R64,1,Missouri,6.0,72.0,Southern Illinois,11.0,71.0,Missouri,1.0,1.0
2003,R64,1,Marquette,3.0,72.0,Holy Cross,14.0,68.0,Marquette,1.0,4.0
2003,R64,1,Indiana,7.0,67.0,Alabama,10.0,62.0,Indiana,1.0,5.0
2003,R64,1,Pitt,2.0,87.0,Wagner,15.0,61.0,Pitt,1.0,26.0
2003,R32,2,Kentucky,1.0,74.0,Utah,9.0,54.0,Kentucky,1.0,20.0
2003,R32,2,Wisconsin,5.0,61.0,Tulsa,13.0,60.0,Wisconsin,1.0,1.0
2003,R32,2,Missouri,6.0,92.0,Marquette,3.0,101.0,Marquette,2.0,-9.0
2003,R32,2,Indiana,7.0,52.0,Pitt,2.0,74.0,Pitt,2.0,-22.0
2003,S16,3,Kentucky,1.0,63.0,Wisconsin,5.0,57.0,Kentucky,1.0,6.0
2003,S16,3,Marquette,3.0,77.0,Pitt,2.0,74.0,Marquette,1.0,3.0
2003,E8,4,Kentucky,1.0,69.0,Marquette,3.0,83.0,Marquette,2.0,-14.0
2003,R64,1,Texas,1.0,82.0,UNC Asheville,16.0,61.0,Texas,1.0,21.0
2003,R64,1,LSU,8.0,56.0,Purdue,9.0,80.0,Purdue,2.0,-24.0
2003,R64,1,UConn,5.0,58.0,BYU,12.0,53.0,UConn,1.0,5.0
2003,R64,1,Stanford,4.0,77.0,San Diego,13.0,69.0,Stanford,1.0,8.0
2003,R64,1,Maryland,6.0,75.0,UNC Wilmington,11.0,73.0,Maryland,1.0,2.0
2003,R64,1,Xavier,3.0,71.0,Troy,14.0,59.0,Xavier,1.0,12.0
2003,R64,1,Michigan State,7.0,79.0,Colorado,10.0,64.0,Michigan State,1.0,15.0
2003,R64,1,Florida,2.0,85.0,Sam Houston,15.0,55.0,Florida,1.0,30.0
2003,R32,2,Texas,1.0,77.0,Purdue,9.0,67.0,Texas,1.0,10.0
2003,R32,2,UConn,5.0,85.0,Stanford,4.0,74.0,UConn,1.0,11.0
2003,R32,2,Maryland,6.0,77.0,Xavier,3.0,64.0,Maryland,1.0,13.0
