rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Duke,ACC,32-2,128.09884890415634,4,90.7078371967597,1,0.9814638501244362,1,32.984712453698684,2.015287546301317,17.0,1.0,17-1,0.7410946073247703,0.6260550393873434,0.7995523672238998,0.732810733706162,0.6260550393873434,0.7995523672238998,0.6240935502092653,0.6342312302107563,116.5186360595304,102.90330662651209,116.24755428302076,103.07379725609334,129.22819433070697,90.81883393703248,128.2199983875736,89.12106312499868,0.9849786277339665,19.0,0.06990683559464128,1457.0,1123.0,1174.9624999999999,1.2400395757311404,0.9557751843143931,0.0,0.9444444444444444,13.612638589666407,2,39,65.79093324297072
2,Michigan,B10,31-3,127.58165051912273,6,90.91845496650676,2,0.980084214234074,2,31.984315445120235,3.015684554879764,19.0,1.0,19-1,0.8032317430794487,0.7292117812541669,0.8238460610345992,0.7928397411635139,0.7292117812541669,0.8238460610345992,0.5903064114812226,0.6607248586913338,119.31367140431662,102.23282826477097,118.88820995649132,102.35914253749475,129.53980071805216,93.69747085624147,127.63137789863426,89.00637030271723,0.9844042855740431,22.0,0.0696374855391173,1719.0,1418.0,1400.3750000000002,1.2275283406230473,1.0125859144871907,0.0,0.95,13.953091000408985,1,40,71.20502705035263
3,Arizona,B12,32-2,126.83987180305303,9,91.28748192945316,3,0.9777407163575806,3,32.988502934188645,2.0114970658113567,16.0,2.0,16-2,0.7384782586268003,0.5596257373834767,0.8380425683895594,0.7270398924252086,0.5596257373834767,0.8380425683895594,0.6218744721737773,0.7213143567808928,116.91614232773732,103.19017520322623,116.53375307517935,103.37785575990509,126.39681204638266,91.41986692567288,127.39961500211541,91.39108546196076,0.978544368513756,19.0,0.10006693368304864,1513.0,1265.0,1284.0874999999999,1.178268614872429,0.9851353587664393,0.0,0.8888888888888888,13.606138100118663,3,12,70.01336071310018
4,Florida,SEC,26-7,126.03114163528738,11,92.19345058416057,4,0.9732825962584957,4,26.990141625658257,7.009858374341742,16.0,2.0,16-2,0.757719811414871,0.616152269393685,0.8421056176334157,0.7432623191576762,0.616152269393685,0.8421056176334157,0.6173358240464201,0.683326514197992,118.54553665439529,104.17505090305512,118.03551869590737,104.36212022444948,129.510524591506,91.65049400654613,127.69286645248935,92.9090229184442,0.9748415724409588,19.0,-0.033909863114952477,1613.0,1307.0,1303.2875,1.2376394310541612,1.0028485656464903,0.0,0.8888888888888888,8.480105204444332,7,253,70.38543100640098
5,Houston,B12,28-6,125.24417320348053,12,92.29883555028081,5,0.9709762474695236,5,28.96187757816433,6.03812242183567,14.0,4.0,14-4,0.7305621539322376,0.5357761632267389,0.8378556130647351,0.7259764265541341,0.5357761632267389,0.8378556130647351,0.6386015071894144,0.7926143778023729,116.3481408917181,103.59704837786255,116.13015225793039,103.66810538471027,127.26103350983446,93.13511400608748,127.74047308622036,95.09757442688311,0.9675044749464595,16.0,0.0008588022460752631,1384.0,1165.0,1162.3625000000002,1.1906784673456,1.0022690855907685,0.0,0.7777777777777778,8.931423380384267,5,171,63.31563553368743
6,Illinois,B10,24-8,131.89194372893542,2,98.1063278138969,24,0.9678046359772976,6,24.964208204352943,8.035791795647055,15.0,5.0,15-5,0.7390090184978348,0.5755366491040147,0.8193717983950808,0.732595939031532,0.5755366491040147,0.8193717983950808,0.6245135230212017,0.7220057309434316,117.14259301572211,103.29882217278669,116.8177260096838,103.36286924824826,133.3160864915072,99.18135470578218,132.7044717513094,100.44482771906382,0.9609445569722339,17.0,-0.04935372665292903,1633.0,1416.0,1312.4,1.2442852788783907,1.0789393477598292,0.0,0.75,6.535892109835591,16,298,65.70281542497514
7,Iowa St.,B12,27-7,123.67255595433032,21,92.52194636678304,6,0.9656832559355005,7,27.97723197255975,7.02276802744025,12.0,6.0,12-6,0.6967373126431013,0.45937441001948925,0.8332436689240942,0.6881447882995054,0.45937441001948925,0.8332436689240942,0.6542484448682814,0.7973369820687418,114.79127766969681,103.55382069042315,114.58879394894127,103.78747256477074,121.14559885806408,94.3148901841235,120.54103517108327,96.15424793789614,0.9308242889270985,14.0,-0.011828518068841554,1360.0,1221.0,1200.275,1.1330736706171503,1.0172668763408386,0.0,0.6666666666666666,7.338254317790138,13,210,66.94050996857628
8,Purdue,B10,27-8,133.2657439086656,1,100.14538550923189,36,0.963938635359956,8,27.971500049415454,8.028499950584548,13.0,7.0,13-7,0.7795805063051879,0.6209084082483053,0.8420375364025212,0.7701342233862501,0.6209084082483053,0.8420375364025212,0.5956089372748521,0.724136047606052,118.32051936424952,102.43006757483393,118.21680164318498,102.83576202106228,132.1400273464618,101.76022458206351,135.06759974180207,100.06037845163702,0.969231690613355,20.0,0.0030295904375853278,1596.0,1455.0,1300.375,1.2273382678073632,1.1189080073055848,0.0,0.65,9.143874359823212,4,164,64.42460579280781
9,Connecticut,BE,29-5,123.03923932083666,25,94.91357749538753,12,0.9518767621172637,9,29.96125994270949,5.038740057290509,17.0,3.0,17-3,0.7139485671339304,0.5823190220147828,0.7738942874617005,0.7062233625258122,0.5823190220147828,0.7738942874617005,0.6737255786856399,0.6503134967939274,114.59011759115754,103.50690720146301,114.3683160210901,103.66253402223377,123.23204483143324,95.40955402034216,122.79555928112049,91.57989178453998,0.9668517408355347,11.0,0.06798002804904513,1554.0,1343.0,1335.8125,1.163336920413606,1.005380620408927,0.0,0.85,8.795611935183612,6,41,64.57106634467051
10,Vanderbilt,SEC,26-8,127.40562888725808,7,99.26971517101215,29,0.9463259240968922,10,26.84250142527002,8.157498574729981,11.0,7.0,11-7,0.7382891452410685,0.5241054445257363,0.8577762906327602,0.7391158338160058,0.5241054445257363,0.8577762906327602,0.6312379621066192,0.804223556789438,117.1936034934092,104.08978973224825,117.07742757767932,104.0295841685686,125.20927567059445,100.74280078867106,130.45290557590587,102.11601476870358,0.9435546439732474,18.0,0.022506447983099642,1470.0,1410.0,1259.2750000000003,1.1673383494471021,1.1196918862043634,0.0,0.6111111111111112,7.2508517225208236,14,116,68.97104562897228
