Rk,School,G,W,L,W-L%,SRS,SOS,W_1,L_1,W_2,L_2,W_3,L_3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,in_tourney
1,Air Force,29,22,7,0.759,9.12,0.08,12.0,2.0,13,0,8,5,1737,1475,,,0.373,0.532,0.607,43.4,66.0,,5.7,0.582,18.2,,0.265,True
2,Akron,28,13,15,0.464,-0.38,0.01,7.0,11.0,9,4,4,11,2009,2020,,,0.461,0.32,0.552,48.6,60.8,,4.3,0.524,18.4,,0.298,False
3,Alabama,33,20,13,0.606,14.29,10.2,8.0,8.0,11,4,4,6,2380,2245,,,0.408,0.342,0.553,50.4,48.6,,5.9,0.516,16.4,,0.289,True
4,Alabama A&M,30,13,17,0.433,-15.88,-12.3,9.0,9.0,8,4,3,12,2113,2220,,,0.4,0.333,0.504,48.8,52.4,,4.5,0.462,18.8,,0.275,False
5,Alabama State,31,16,15,0.516,-11.1,-10.78,11.0,7.0,7,4,5,9,1904,1913,,,0.454,0.339,0.514,51.9,49.3,,5.8,0.476,22.5,,0.297,True
6,Albany (NY),28,5,23,0.179,-15.33,-7.47,3.0,15.0,3,10,2,12,1621,1841,,,0.263,0.305,0.483,47.2,52.5,,4.0,0.446,20.8,,0.194,False
7,Alcorn State,29,11,18,0.379,-20.17,-11.79,9.0,9.0,6,6,4,11,1855,2098,,,0.389,0.303,0.515,49.7,50.9,,3.7,0.478,23.7,,0.264,False
8,American,31,18,13,0.581,-4.59,-7.04,10.0,4.0,7,4,7,8,2092,2016,,,0.391,0.341,0.537,52.1,56.6,,4.4,0.505,18.5,,0.264,False
9,Appalachian State,30,9,21,0.3,-5.83,-1.18,4.0,12.0,4,8,4,11,2091,2170,,,0.295,0.334,0.489,47.1,57.0,,8.2,0.463,18.8,,0.189,False
10,Arizona,30,20,10,0.667,15.29,6.63,11.0,7.0,13,2,5,5,2614,2354,,,0.335,0.293,0.582,52.7,59.4,,6.9,0.543,16.6,,0.264,True
11,Arizona State,27,10,17,0.37,2.82,5.34,4.0,14.0,7,8,2,9,2000,2068,,,0.497,0.319,0.54,49.9,65.9,,5.4,0.485,18.1,,0.365,False
12,Arkansas,28,12,16,0.429,6.53,6.28,4.0,12.0,10,6,1,8,1928,1921,,,0.354,0.352,0.507,48.5,53.5,,7.1,0.471,16.9,,0.241,False
13,Arkansas State,28,17,11,0.607,-1.57,-4.42,7.0,7.0,10,4,6,5,2078,1957,,,0.406,0.348,0.551,50.6,44.6,,5.1,0.509,18.7,,0.296,False
14,Arkansas-Pine Bluff,27,1,26,0.037,-30.69,-8.54,1.0,17.0,0,10,1,16,1410,2008,,,0.266,0.328,0.421,44.3,52.6,,4.1,0.39,23.6,,0.17,False
15,Army,27,6,21,0.222,-22.76,-7.72,3.0,11.0,4,11,2,8,1363,1708,,,0.363,0.374,0.462,43.6,59.3,,3.7,0.423,23.9,,0.238,False
16,Auburn,28,14,14,0.5,10.32,5.89,5.0,11.0,12,5,1,8,1960,1836,,,0.354,0.34,0.525,53.2,61.0,,8.8,0.496,19.3,,0.235,False
17,Austin Peay,32,22,10,0.688,1.42,-1.38,16.0,0.0,13,0,8,8,2098,1935,,,0.378,0.332,0.532,51.4,54.8,,7.7,0.496,18.2,,0.262,False
18,Ball State,29,14,15,0.483,1.03,1.78,10.0,8.0,10,5,4,9,2046,2032,,,0.406,0.267,0.518,48.8,51.9,,3.9,0.469,16.1,,0.296,False
19,Baylor,29,8,21,0.276,-2.73,5.2,3.0,13.0,6,11,1,9,1847,2041,,,0.345,0.347,0.515,48.3,53.5,,4.6,0.481,19.9,,0.238,False
20,Belmont,30,21,9,0.7,1.7,-4.68,15.0,5.0,12,4,9,5,2171,1947,,,0.346,0.501,0.57,48.5,66.3,,4.3,0.546,18.7,,0.237,False
21,Bethune-Cookman,29,8,21,0.276,-18.49,-10.63,7.0,11.0,5,6,3,14,1711,1939,,,0.298,0.36,0.484,47.9,50.5,,4.0,0.448,20.7,,0.209,False
22,Binghamton,30,14,16,0.467,-9.09,-6.33,10.0,8.0,6,5,6,7,1802,1885,,,0.385,0.328,0.492,51.3,49.8,,9.9,0.459,21.7,,0.246,False
23,Birmingham-Southern,27,20,7,0.741,-3.27,-9.79,12.0,4.0,12,1,7,5,1998,1756,66.7,110.5,0.403,0.4,0.594,54.4,62.8,11.3,9.5,0.568,20.3,37.2,0.28,False
24,Boise State,33,23,10,0.697,8.85,4.14,12.0,6.0,13,4,10,5,2431,2227,,,0.36,0.336,0.545,50.5,54.1,,5.7,0.506,16.1,,0.266,False
25,Boston College,34,24,10,0.706,11.99,7.17,10.0,6.0,13,3,5,5,2312,2148,,,0.447,0.218,0.53,52.2,66.3,,5.2,0.491,17.3,,0.304,True
26,Boston University,29,23,6,0.793,1.12,-5.91,17.0,1.0,11,3,12,3,1930,1726,,,0.328,0.336,0.516,50.8,60.6,,7.2,0.483,15.8,,0.227,False
27,Bowling Green,31,14,17,0.452,-1.27,0.49,8.0,10.0,11,4,2,10,2194,2206,,,0.442,0.339,0.564,50.9,65.2,,7.0,0.511,20.7,,0.342,False
28,Bradley,31,15,16,0.484,-0.06,1.94,7.0,11.0,11,4,3,10,2058,2126,,,0.445,0.355,0.515,49.2,56.8,,3.5,0.463,19.6,,0.323,False
29,Brigham Young,30,21,9,0.7,12.7,6.31,10.0,4.0,13,0,5,7,2200,1966,,,0.44,0.31,0.579,54.4,58.2,,6.3,0.541,17.7,,0.319,True
30,Brown,27,14,13,0.519,-5.4,-4.17,10.0,4.0,7,4,6,9,1956,1966,,,0.312,0.365,0.546,46.7,60.6,,5.4,0.517,18.7,,0.219,False
31,Bucknell,29,14,15,0.483,-4.21,-6.65,9.0,5.0,10,2,2,11,1883,1759,,,0.414,0.332,0.541,53.6,56.0,,4.8,0.509,21.8,,0.277,False
32,Buffalo,29,17,12,0.586,2.36,-1.19,11.0,7.0,9,5,8,6,2175,2072,,,0.397,0.296,0.548,52.3,49.7,,5.4,0.518,18.0,,0.267,False
33,Butler,30,16,14,0.533,1.8,-0.03,8.0,8.0,11,4,4,9,1872,1805,,,0.282,0.46,0.531,49.3,52.5,,4.3,0.495,14.9,,0.216,False
34,Cal Poly,27,11,16,0.407,-3.39,-0.2,6.0,12.0,8,5,3,10,1901,1977,,,0.347,0.326,0.532,47.0,53.5,,5.5,0.498,18.7,,0.243,False
35,Cal State Fullerton,28,11,17,0.393,-4.03,-0.81,7.0,11.0,8,6,3,10,1983,2050,,,0.359,0.327,0.517,54.2,58.2,,3.5,0.483,18.5,,0.245,False
36,Cal State Northridge,30,14,16,0.467,-1.91,-0.46,7.0,11.0,7,6,4,9,2045,2063,,,0.393,0.32,0.537,48.4,52.9,,4.7,0.495,20.5,,0.284,False
37,California,28,13,15,0.464,6.29,6.65,9.0,9.0,11,4,2,9,1873,1883,,,0.409,0.266,0.508,51.5,57.2,,5.6,0.478,17.6,,0.256,False
38,Campbell,27,3,24,0.111,-21.16,-4.49,3.0,17.0,3,9,0,15,1858,2308,,,0.303,0.303,0.472,47.6,53.9,,2.3,0.44,18.9,,0.2,False
39,Canisius,30,10,20,0.333,-6.2,-2.75,5.0,13.0,3,9,6,9,2064,2169,,,0.3,0.311,0.516,49.3,60.0,,5.0,0.495,18.2,,0.189,False
40,Centenary (LA),28,16,12,0.571,-2.43,-2.39,10.0,6.0,13,0,3,10,1966,1905,,,0.433,0.282,0.565,49.9,51.6,,6.0,0.525,19.4,,0.311,False
41,Central Connecticut State,28,14,14,0.5,-6.69,-7.97,9.0,9.0,5,7,6,7,1979,1943,,,0.346,0.277,0.537,52.8,55.5,,3.5,0.515,18.6,,0.222,False
42,Central Michigan,30,6,24,0.2,-9.05,1.13,2.0,16.0,5,8,1,12,2116,2411,,,0.374,0.362,0.533,45.9,59.6,,3.4,0.501,21.1,,0.254,False
43,Charleston Southern,28,6,22,0.214,-15.23,-6.97,3.0,13.0,5,6,1,13,1660,1841,,,0.28,0.307,0.494,47.9,59.3,,7.1,0.47,20.6,,0.178,False
44,Charlotte,30,21,9,0.7,12.24,4.7,12.0,4.0,10,3,10,4,2374,2148,,,0.442,0.378,0.543,53.0,59.6,,7.5,0.514,17.3,,0.287,True
45,Chattanooga,30,19,11,0.633,-1.39,-2.98,10.0,6.0,10,4,7,6,2463,2260,,,0.396,0.351,0.592,53.5,62.1,,4.1,0.558,18.7,,0.291,False
46,Chicago State,32,12,20,0.375,-6.08,0.14,9.0,7.0,8,3,3,14,2107,2269,,,0.39,0.231,0.516,47.1,48.9,,5.7,0.476,17.7,,0.273,False
47,Cincinnati,32,25,7,0.781,18.75,6.28,12.0,4.0,18,1,6,5,2455,2056,,,0.382,0.323,0.549,52.9,59.6,,9.8,0.521,14.9,,0.256,True
48,Clemson,28,10,18,0.357,5.87,11.12,3.0,13.0,10,6,0,11,1839,1986,,,0.429,0.278,0.508,52.8,55.3,,7.6,0.476,22.9,,0.271,False
49,Cleveland State,29,4,25,0.138,-10.32,0.46,0.0,16.0,2,11,2,12,1871,2131,,,0.399,0.321,0.493,49.6,51.3,,6.9,0.458,22.0,,0.258,False
50,Coastal Carolina,29,14,15,0.483,-7.13,-6.8,8.0,8.0,9,5,5,9,2061,1997,,,0.321,0.306,0.53,52.6,57.0,,3.5,0.498,19.4,,0.227,False
51,Colgate,29,15,14,0.517,-10.81,-7.58,6.0,8.0,9,4,5,9,1968,1987,,,0.34,0.331,0.522,50.0,55.5,,3.2,0.487,17.3,,0.237,False
52,College of Charleston,29,20,9,0.69,1.13,-3.98,11.0,5.0,11,1,7,7,2134,1966,,,0.349,0.386,0.547,49.0,56.0,,7.7,0.514,18.2,,0.248,False
53,Colorado,29,18,11,0.621,9.68,7.18,10.0,6.0,12,3,6,7,2151,2051,,,0.44,0.309,0.544,52.2,53.2,,9.9,0.521,17.6,,0.273,False
54,Colorado State,29,13,16,0.448,1.98,4.87,4.0,10.0,8,4,3,10,2036,2086,,,0.487,0.265,0.55,50.7,57.2,,8.6,0.504,21.1,,0.347,False
55,Columbia,27,10,17,0.37,-9.53,-5.3,6.0,8.0,5,6,4,10,1824,1902,,,0.337,0.381,0.541,50.3,67.0,,2.7,0.508,23.0,,0.239,False
56,Connecticut,39,33,6,0.846,22.64,7.77,12.0,4.0,17,1,6,4,3073,2493,,,0.345,0.258,0.549,56.1,59.0,,12.6,0.532,16.0,,0.215,True
57,Coppin State,32,18,14,0.563,-8.03,-8.68,14.0,4.0,9,1,6,10,1969,1948,,,0.379,0.349,0.507,51.4,52.7,,6.5,0.472,19.8,,0.253,False
58,Cornell,27,11,16,0.407,-6.19,-5.69,6.0,8.0,5,7,5,9,1904,1885,,,0.385,0.344,0.518,51.5,52.0,,5.7,0.481,17.9,,0.264,False
59,Creighton,29,20,9,0.69,8.52,1.9,12.0,6.0,14,2,6,6,1984,1792,,,0.399,0.298,0.546,51.6,57.1,,7.3,0.51,17.7,,0.278,False
60,Dartmouth,28,3,25,0.107,-18.28,-6.17,1.0,13.0,2,10,1,13,1594,1876,,,0.295,0.387,0.507,44.1,53.8,,6.9,0.473,20.2,,0.211,False
61,Davidson,29,17,12,0.586,-1.76,-0.99,11.0,5.0,13,1,3,10,2119,2054,,,0.36,0.379,0.545,53.6,59.2,,2.1,0.509,20.6,,0.259,False
62,Dayton,33,24,9,0.727,7.12,3.58,12.0,4.0,15,2,6,5,2244,2127,,,0.411,0.369,0.538,55.0,62.7,,5.0,0.506,18.3,,0.273,True
63,Delaware,28,16,12,0.571,-0.66,-1.95,10.0,8.0,10,3,6,8,1987,1951,,,0.386,0.28,0.52,50.7,52.4,,7.0,0.482,19.9,,0.267,False
64,Delaware State,28,13,15,0.464,-8.44,-7.97,11.0,7.0,7,3,5,11,1721,1734,,,0.474,0.351,0.545,48.4,51.7,,5.2,0.503,21.3,,0.328,False
