team_idx,count,probability
48,254210,0.25421
0,215579,0.215579
16,171177,0.171177
32,91167,0.091167
30,64874,0.064874
46,57285,0.057285
42,47606,0.047606
62,28422,0.028422
14,9322,0.009322
10,8878,0.008878
36,8430,0.00843
52,5912,0.005912
8,4626,0.004626
20,4449,0.004449
4,3628,0.003628
2,3602,0.003602
22,3121,0.003121
26,3071,0.003071
6,3001,0.003001
56,2634,0.002634
12,2064,0.002064
58,1970,0.00197
54,1869,0.001869
38,1021,0.001021
35,457,0.000457
24,289,0.000289
40,222,0.000222
19,177,0.000177
18,163,0.000163
34,135,0.000135
60,112,0.000112
44,103,0.000103
25,91,9.1e-05
50,82,8.2e-05
28,79,7.9e-05
61,65,6.5e-05
45,26,2.6e-05
57,15,1.5e-05
3,14,1.4e-05
29,14,1.4e-05
13,11,1.1e-05
9,9,9e-06
51,7,7e-06
41,7,7e-06
5,3,3e-06
37,1,1e-06
