Region,Favorite,Underdog,Fav Win%,Spread,Total,Fav Pts,Dog Pts,Spread Range,Total Range
East,(1) Duke,(16) Siena,97.3%,-30.5,142.3,86.4,55.9,10.2,3.9
East,(8) Ohio St.,(9) TCU,80.9%,-8.6,153.7,81.1,72.5,1.8,10.1
East,(5) St. John's,(12) Northern Iowa,83.2%,-11.3,139.6,75.5,64.2,4.0,7.3
East,(4) Kansas,(13) Cal Baptist,92.1%,-15.2,136.8,76.0,60.8,7.5,9.5
East,(6) Louisville,(11) South Florida,78.5%,-7.4,165.5,86.5,79.1,5.3,8.8
East,(3) Michigan St.,(14) North Dakota St.,94.9%,-20.1,146.9,83.5,63.4,3.5,3.2
East,(7) UCLA,(10) UCF,83.0%,-9.3,158.1,83.7,74.4,4.9,10.0
East,(2) UConn,(15) Furman,97.1%,-26.4,143.1,84.7,58.4,1.0,2.0
West,(1) Arizona,(16) Long Island,97.6%,-33.9,155.4,94.7,60.7,7.5,0.7
West,(9) Utah St.,(8) Villanova,44.1%,-2.8,148.3,75.5,72.7,5.4,10.2
West,(5) Wisconsin,(12) High Point,91.2%,-15.1,163.0,89.0,74.0,9.0,5.1
West,(4) Arkansas,(13) Hawaii,90.6%,-18.9,167.8,93.3,74.5,7.4,20.5
West,(6) BYU,(11) Texas,62.6%,-1.1,164.1,82.6,81.5,2.3,8.6
West,(3) Gonzaga,(14) Kennesaw St.,95.3%,-19.0,161.9,90.4,71.4,4.0,4.7
West,(7) Miami (FL),(10) Missouri,63.6%,-0.5,157.6,79.1,78.5,3.8,4.9
West,(2) Purdue,(15) Queens (N.C.),96.6%,-31.6,161.8,96.7,65.1,4.7,17.8
South,(1) Florida,(16) Prairie View A&M,97.4%,-33.7,162.3,98.0,64.3,15.4,7.0
South,(9) Iowa,(8) Clemson,50.7%,-4.2,139.6,71.9,67.7,6.4,1.9
South,(5) Vanderbilt,(12) McNeese,89.1%,-14.0,159.7,86.8,72.9,5.7,19.7
South,(4) Nebraska,(13) Troy,94.5%,-20.1,146.1,83.1,63.0,5.9,1.3
South,(6) North Carolina,(11) VCU,76.1%,-2.9,157.0,79.9,77.1,3.5,1.1
South,(3) Illinois,(14) Penn,95.9%,-25.8,154.9,90.3,64.5,9.2,5.8
South,(7) Saint Mary's,(10) Texas A&M,68.1%,-4.3,156.6,80.4,76.2,4.2,4.9
South,(2) Houston,(15) Idaho,96.8%,-23.5,143.5,83.5,60.0,7.4,3.4
Midwest,(1) Michigan,(16) Howard,97.4%,-31.7,157.1,94.4,62.7,7.0,6.0
Midwest,(8) Georgia,(9) Saint Louis,69.9%,-4.2,171.1,87.7,83.4,1.9,10.8
Midwest,(5) Texas Tech,(12) Akron,90.5%,-14.9,159.6,87.2,72.4,7.4,3.3
Midwest,(4) Alabama,(13) Hofstra,90.5%,-12.8,166.3,89.5,76.7,4.7,14.7
Midwest,(6) Tennessee,(11) Miami (OH),83.9%,-11.1,149.3,80.2,69.1,3.3,4.8
Midwest,(3) Virginia,(14) Wright St.,96.4%,-21.6,148.0,84.8,63.2,6.0,4.8
Midwest,(10) Santa Clara,(7) Kentucky,41.7%,-1.6,160.1,80.9,79.3,1.1,7.4
Midwest,(2) Iowa St.,(15) Tennessee St.,97.0%,-30.4,159.2,94.8,64.4,1.4,4.3
